goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Len8/Value-8         	 8452198	       136.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 8773760	       142.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 8778880	       139.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 8886235	       138.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8552922	       141.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8639085	       138.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8682948	       143.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8125707	       139.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8673148	       141.4 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8961783	       140.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8686000	       143.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8653358	       142.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8257581	       138.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8667361	       136.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 7647157	       138.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8853993	       153.7 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	19191206	        59.35 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	20626392	        61.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	13381405	        77.96 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	13663926	        81.35 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	18681914	        74.52 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	19862596	        66.16 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	17852958	        66.57 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	19055413	        60.01 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	19412162	        61.23 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	18859093	        60.25 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	19566830	        60.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	19320841	        61.03 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1529144	       788.2 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1574062	       794.6 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1531016	       787.2 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1518337	       760.1 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1480698	       784.8 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1543339	       794.1 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1526935	       814.2 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1501568	       825.4 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1417327	       786.8 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1573578	       788.8 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1568526	       775.1 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1482090	       800.5 ns/op	      88 B/op	      11 allocs/op
BenchmarkIntSlice/Len2/Value-8          	35660248	        34.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	33344978	        35.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	34987014	        35.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	34358806	        36.13 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	32732668	        34.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	31963185	        36.38 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	33544401	        36.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	30973138	        35.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	35833953	        36.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	35757304	        36.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	35891806	        36.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Value-8          	30783018	        36.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	27625250	        42.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	28241104	        42.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	26155450	        42.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	29066688	        43.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	24121972	        44.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	27414753	        43.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	25680268	        44.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	27640608	        42.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	26116275	        42.33 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	28414264	        43.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	28249392	        42.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	29492848	        43.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4484612	       268.6 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4265673	       349.1 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3540534	       359.7 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3624786	       288.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3730255	       320.4 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4410244	       264.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3887242	       264.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4597940	       277.8 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4608916	       266.0 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4608576	       272.7 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4694401	       281.3 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 4083112	       282.0 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5608640	       217.9 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5676726	       229.9 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 4973959	       226.2 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5544507	       225.4 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5166476	       228.8 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5394958	       225.1 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5541010	       217.6 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5037541	       229.3 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5118618	       230.8 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5355559	       228.8 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5382111	       233.3 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Value-8          	 5403375	       237.7 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 4836920	       237.5 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5343854	       244.8 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5800990	       223.4 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5218234	       231.1 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5498616	       232.1 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5541073	       222.8 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5381444	       233.7 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5270700	       226.0 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 4555736	       249.2 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5048011	       231.4 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5308422	       232.4 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/KeyValue-8       	 5463960	       235.3 ns/op	     192 B/op	       3 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2524372	       487.7 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2502532	       479.3 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2201301	       485.7 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2277999	       477.4 ns/op	     136 B/op	       4 allocs/op
BenchmarkIntSlice/Len8/Emit-8           	 2403373	       471.0 ns/op	     136 B/op	       4 allocs/op
