goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkIntSlice/KeyValue-8       	28440472	        43.86 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	29092290	        43.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	28095237	        44.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27609994	        42.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	26496252	        43.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27078842	        43.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27470646	        44.57 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	26584610	        44.04 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	25519123	        42.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	28435129	        43.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27865662	        45.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Emit-8           	 4221248	       299.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3807504	       308.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4115377	       297.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4058785	       295.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4073587	       311.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4112504	       300.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4034756	       292.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4145680	       296.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3975836	       297.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3913231	       295.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3715620	       286.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4232008	       303.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Value-8        	40986638	        29.27 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	42213372	        27.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	40138869	        29.63 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	42950894	        28.65 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	39142746	        30.52 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	41941588	        30.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	34951339	        29.24 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	36114196	        29.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	42098676	        32.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	35868913	        28.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	40985820	        29.65 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Value-8        	39639703	        28.34 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	31318862	        38.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	24583089	        44.39 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	29130789	        40.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	32611860	        41.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	33100108	        34.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	33863038	        35.64 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	29572224	        34.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	33545845	        35.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	33852766	        34.86 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	34957650	        34.73 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	37412662	        34.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/KeyValue-8     	35882509	        35.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	39456096	        31.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	37518808	        33.88 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	35598038	        32.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	36554846	        32.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	35872976	        32.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	38773797	        34.62 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	37862658	        32.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	36143912	        35.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	30850459	        35.25 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	35239000	        33.34 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	33978764	        33.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/AsInt64Slice-8 	35346733	        32.29 ns/op	      24 B/op	       1 allocs/op
BenchmarkInt64Slice/Emit-8         	 3796052	       295.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4036269	       307.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4123642	       307.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4226320	       303.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4020952	       297.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4160989	       306.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4015197	       299.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4108632	       297.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4055096	       301.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3893535	       301.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 3962120	       298.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Emit-8         	 4075651	       296.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkFloat64Slice/Value-8      	39685419	        28.74 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	44159071	        27.81 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	42258316	        31.45 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	35866872	        31.09 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	42505814	        28.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	39288567	        27.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	38518452	        28.20 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	40661434	        28.88 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	44664218	        29.18 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	45947515	        28.58 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	38008012	        28.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/Value-8      	42331119	        28.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	35038536	        34.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	32374335	        34.75 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	34598304	        33.96 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	31673973	        36.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	36311630	        36.66 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	32342480	        38.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	36541832	        34.76 ns/op	      24 B/op	       1 allocs/op
BenchmarkFloat64Slice/KeyValue-8   	30371552	        35.14 ns/op	      24 B/op	       1 allocs/op
