goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Len8/Value-8         	 9368708	       131.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9053403	       131.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 8393137	       135.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9413230	       134.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9415518	       133.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8239156	       143.5 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8976783	       139.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8190422	       135.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8969175	       134.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8851611	       135.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8413078	       143.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8886151	       138.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8915503	       140.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8505286	       139.7 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 9173673	       136.7 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 8857161	       135.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/KeyValue-8      	 7622587	       136.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	21251667	        53.98 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	23382405	        52.27 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	23289884	        67.20 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	20249174	        68.17 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	17133144	        65.49 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	22820539	        63.46 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	21267420	        53.21 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	24294655	        52.14 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	22879870	        53.18 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	23423647	        51.73 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	19706281	        51.86 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/AsBoolSlice-8   	23899786	        54.22 ns/op	       8 B/op	       1 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1537276	       762.5 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1550852	       767.3 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1560523	       770.6 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1525738	       777.0 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1595431	       776.5 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1341375	       769.8 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1407109	       768.9 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1596295	       822.9 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1514775	       796.5 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1488972	       762.7 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1530783	       782.2 ns/op	      88 B/op	      11 allocs/op
BenchmarkBoolSlice/Len8/Emit-8          	 1522777	       776.9 ns/op	      88 B/op	      11 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8924542	       139.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8751286	       142.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8632292	       141.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8643421	       137.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 7806201	       137.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8804445	       144.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8630674	       142.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8289896	       140.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8914986	       142.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8763928	       141.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8257614	       135.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Value-8          	 8463090	       138.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8041512	       148.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8353584	       146.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8487328	       149.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 7860918	       155.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8516154	       151.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8140867	       151.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8497234	       145.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8514668	       150.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 7824498	       150.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8511069	       147.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 8123860	       150.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/KeyValue-8       	 7698289	       142.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3850147	       308.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3558942	       315.9 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3806124	       314.5 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3937000	       317.9 ns/op	      56 B/op	       4 allocs/op
BenchmarkIntSlice/Len2/Emit-8           	 3845577	       326.1 ns/op	      56 B/op	       4 allocs/op
