goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkFloat64SliceValue/Len2-8       	51286738	        25.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6952554	       169.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6874663	       180.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6920190	       168.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7719534	       164.9 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7541697	       169.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7096534	       167.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6961246	       164.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7264950	       169.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7824700	       171.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6968430	       176.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6478944	       198.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7424894	       161.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	30789652	        41.80 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	29527148	        41.20 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	31026523	        42.53 ns/op	      32 B/op	       1 allocs/op
BenchmarkStringSliceValue/Len2-8        	31495574	        41.02 ns/op	      32 B/op	       1 allocs/op
