goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Len2/Value-8         	60620076	        18.83 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	62630120	        19.07 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	68741486	        19.10 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	65876770	        19.35 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	66306261	        19.53 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	67960279	        19.02 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	61284534	        19.38 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	65201569	        19.18 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	61677498	        19.46 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	60154515	        19.64 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	68405262	        18.98 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	64990942	        19.50 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	49041614	        27.71 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	45403339	        30.22 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	39396494	        30.28 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	39362973	        27.04 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	45369345	        28.89 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	44465877	        25.91 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	48365125	        24.98 ns/op	       2 B/op	       1 allocs/op
