goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkFloat64SliceValue/Len2-8       	 8091963	       170.2 ns/op	      32 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len2-8       	 6616711	       155.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7248208	       178.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7313216	       170.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7595250	       165.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6240826	       173.8 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7541577	       170.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7454708	       172.3 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7311699	       173.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6646040	       173.7 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7234728	       176.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7221900	       187.5 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 7346337	       174.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkFloat64SliceValue/Len8-8       	 6756577	       167.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6357769	       182.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 7098738	       174.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 7308376	       172.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 7202332	       173.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6488726	       181.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6969747	       182.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6552824	       177.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6968562	       176.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 7023556	       175.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6473515	       177.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6873728	       177.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len2-8        	 6946014	       177.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5965832	       218.2 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5182958	       215.2 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5883086	       234.2 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5656743	       215.1 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5532519	       216.4 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5400535	       215.1 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5595774	       214.9 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 5730588	       229.6 ns/op	     256 B/op	       2 allocs/op
BenchmarkStringSliceValue/Len8-8        	 4924814	       240.0 ns/op	     256 B/op	       2 allocs/op
